Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
1493886,7.83,0.04,6.56,-6.87,-2.12,5.56,-0.06,-0.16,0.07,-0.02,-0.02,0.04,1
61518,9.98,-2.38,0.64,1.43,0.72,8.65,-0.04,-0.04,0.01,-0.04,0.01,0.0,0
1022116,8.49,-0.43,5.43,-4.14,-2.04,7.33,-0.05,-0.04,0.01,-0.05,0.03,-0.02,1
139472,5.77,3.6,7.19,-9.53,-1.18,-0.85,-0.14,-0.37,0.03,0.0,0.03,0.01,0
664416,7.2,0.56,6.93,-6.87,-0.66,5.38,-0.07,-0.05,-0.01,-0.04,0.05,0.0,0
1657094,7.24,0.63,6.95,-6.54,-0.61,5.84,-0.04,-0.04,0.01,-0.04,0.0,-0.01,0
607176,9.02,-0.25,4.58,-3.97,-0.49,7.71,-0.05,-0.04,0.01,-0.04,0.0,-0.02,0
1014802,9.83,-0.43,2.51,0.34,4.13,7.55,-0.1,-0.06,0.02,-0.07,0.06,0.03,1
826814,8.37,-0.57,5.44,-4.99,-2.23,6.91,-0.04,-0.05,0.01,-0.06,0.02,-0.01,1
314052,7.6,-1.07,6.46,-4.28,0.22,7.44,-0.04,-0.04,0.03,-0.05,-0.0,-0.02,1
780952,4.51,0.22,8.76,-7.65,-2.38,3.94,-0.05,-0.06,0.01,-0.05,0.02,0.0,0
1348944,10.2,-1.0,0.74,-1.53,-0.17,8.53,-0.05,-0.05,0.02,-0.06,0.04,-0.04,0
1192620,7.25,1.53,6.68,-6.21,-0.08,6.11,-0.01,-0.06,-0.07,0.03,0.05,-0.02,0
631138,8.13,-0.75,5.9,-5.22,-0.91,6.93,-0.06,-0.04,0.01,-0.01,0.01,-0.02,1
877576,5.11,2.97,7.7,-7.87,-0.17,3.67,-0.09,-0.09,0.16,-0.11,-0.14,0.0,0
1760628,3.97,0.32,9.06,-8.26,-2.2,2.95,-0.03,-0.05,0.0,-0.03,0.02,0.0,0
1840610,6.93,2.31,6.77,-7.5,1.19,4.62,-0.04,-0.05,0.0,-0.04,0.01,-0.01,0
337194,7.43,-0.84,6.62,-3.49,0.07,7.92,-0.03,-0.01,0.01,-0.06,-0.02,-0.03,1
313240,8.88,-0.23,4.72,-7.78,-2.55,3.59,-0.04,-0.05,0.0,-0.02,-0.01,-0.02,1
1262872,6.78,2.46,6.88,-8.24,0.78,3.79,-0.05,0.0,0.03,-0.07,0.03,-0.01,0
104962,6.0,-1.11,7.89,-6.47,-3.49,5.0,-0.16,-0.14,0.1,-0.07,-0.07,-0.03,0
266956,8.92,-0.58,4.59,-7.6,-2.81,3.9,-0.02,-0.06,0.01,-0.01,-0.02,-0.02,1
1469120,7.85,0.15,6.18,-6.51,-1.89,5.57,-0.01,-0.05,0.03,-0.05,0.0,0.01,1
2161348,8.21,-0.05,5.73,-4.36,-1.01,7.35,-0.02,-0.05,-0.02,-0.03,0.03,0.01,1
1106558,10.04,-0.69,2.6,0.45,3.37,8.23,0.02,0.01,0.02,-0.05,0.03,-0.01,1
1768748,3.9,0.51,9.0,-8.07,-2.32,3.28,-0.05,-0.05,0.01,-0.03,0.01,-0.02,0
130940,5.66,6.62,4.39,-5.60,6.58,2.72,-0.09,-0.03,0.00,-0.00,-0.01,-0.02,0
1172740,5.76,1.75,7.85,-8.1,-1.64,3.41,-0.04,-0.04,0.02,-0.03,0.0,-0.02,0
188192,8.93,-0.54,4.83,-2.53,1.15,8.19,-0.05,-0.03,0.0,-0.01,0.0,-0.03,0
607582,9.06,-0.36,4.6,-3.9,-0.57,7.64,-0.03,-0.04,0.01,-0.04,0.0,-0.02,0
253964,7.23,-1.23,6.85,-3.37,-0.68,7.98,-0.03,-0.03,0.0,-0.06,0.02,-0.03,1
243814,9.48,-0.3,3.58,-4.55,-1.1,7.27,-0.02,-0.05,0.02,-0.03,-0.01,0.0,1
1812190,8.62,-0.74,5.27,-3.73,-0.42,7.86,-0.04,-0.06,0.01,0.02,-0.05,-0.05,0
1140246,9.92,0.05,2.34,-1.43,3.61,7.82,0.01,0.01,-0.02,-0.03,0.05,-0.03,0
320140,8.82,-1.66,4.61,-3.67,-1.61,7.73,-0.04,-0.05,0.0,-0.03,0.02,-0.01,1
1791078,8.93,-0.99,4.66,-4.02,-0.16,7.63,-0.01,-0.03,0.02,-0.07,0.01,-0.03,0
876346,8.23,-0.71,5.81,-5.0,-2.28,6.75,-0.03,-0.09,-0.01,0.01,-0.03,-0.04,1
759434,4.68,0.17,8.75,-7.83,-2.26,3.74,-0.05,-0.02,-0.02,-0.03,0.01,-0.04,0
1606750,10.11,-0.59,-1.6,-2.33,0.75,8.32,-0.04,-0.05,0.0,-0.03,0.02,-0.01,0
1574274,7.64,0.09,6.53,-6.43,-2.09,5.57,-0.03,-0.07,0.0,-0.02,0.0,0.02,1
17266,3.38,1.26,9.13,-8.49,-1.23,2.91,-0.05,-0.04,0.0,-0.03,0.03,-0.01,0
1147974,5.19,1.75,8.23,-8.35,-1.88,2.88,-0.05,-0.05,0.01,-0.04,0.0,-0.02,0
22138,6.9,-2.04,6.96,-6.24,-2.92,5.6,-0.04,-0.04,0.01,-0.04,0.01,-0.01,0
